"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.216051920E-1,4.788403399E-3,9.097966552E-2,9.828198433E0,9.828620690E0
4.237776260E-1,0.000000000E0,9.097966552E-2,9.823410034E0,9.823831330E0
4.255792690E-1,9.576806799E-3,7.661445439E-2,9.825803757E0,9.826107111E0
4.277448460E-1,1.197100803E-2,7.182604820E-2,9.813833237E0,9.814103376E0
4.296695000E-1,4.788403399E-3,6.943184882E-2,9.811438560E0,9.811685397E0
4.317425850E-1,1.197100803E-2,8.858546615E-2,9.813833237E0,9.814240342E0
4.335434610E-1,7.182605099E-3,1.005564705E-1,9.809044838E0,9.809562876E0
4.357403230E-1,9.576806799E-3,9.816227108E-2,9.813833237E0,9.814328828E0
4.375200380E-1,-2.394201700E-3,1.029506698E-1,9.809044838E0,9.809585374E0
4.397075430E-1,1.675941236E-2,1.005564705E-1,9.799467087E0,9.799997330E0
4.415661920E-1,2.633621916E-2,9.816227108E-2,9.804255486E0,9.804782254E0
4.437052820E-1,2.633621916E-2,8.858546615E-2,9.813833237E0,9.814268377E0
4.455011540E-1,2.873042040E-2,9.576806426E-2,9.806650162E0,9.807159852E0
4.477030190E-1,2.394201607E-2,7.900865376E-2,9.806650162E0,9.806997654E0
4.496041540E-1,2.633621916E-2,7.422025502E-2,9.806650162E0,9.806966383E0
4.516702400E-1,4.788403399E-3,8.858546615E-2,9.818621635E0,9.819022412E0
4.535065380E-1,2.394201700E-3,7.900865376E-2,9.816226959E0,9.816545208E0
4.556679780E-1,9.576806799E-3,8.858546615E-2,9.813833237E0,9.814237714E0
4.574835770E-1,1.436521020E-2,8.858546615E-2,9.818621635E0,9.819031753E0
4.596657160E-1,7.182605099E-3,8.858546615E-2,9.818621635E0,9.819023872E0
4.614750000E-1,1.915361360E-2,7.900865376E-2,9.809044838E0,9.809381727E0
4.636634540E-1,3.351882473E-2,7.182604820E-2,9.816226959E0,9.816546959E0
4.654836150E-1,2.154781483E-2,7.182604820E-2,9.816226959E0,9.816513383E0
4.676306750E-1,1.197100803E-2,7.182604820E-2,9.825803757E0,9.826073567E0
4.695584230E-1,3.112462163E-2,7.900865376E-2,9.818621635E0,9.818988845E0
4.716284130E-1,3.351882473E-2,6.224924326E-2,9.828198433E0,9.828452722E0
4.734166920E-1,1.915361360E-2,7.422025502E-2,9.832986832E0,9.833285592E0
4.756261500E-1,1.436521020E-2,7.661445439E-2,9.828198433E0,9.828507545E0
4.774252690E-1,2.394201607E-2,6.703764945E-2,9.818621635E0,9.818879676E0
4.795933710E-1,2.873042040E-2,7.182604820E-2,9.823410034E0,9.823714629E0
4.814220000E-1,4.070143029E-2,7.422025502E-2,9.823410034E0,9.823774730E0
4.835911090E-1,4.788403213E-2,7.900865376E-2,9.813833237E0,9.814268085E0
4.854757690E-1,4.070143029E-2,8.858546615E-2,9.830592155E0,9.831075532E0
4.875888470E-1,4.548983276E-2,8.619125932E-2,9.837775230E0,9.838257963E0
4.894901150E-1,5.267243832E-2,8.619125932E-2,9.837775230E0,9.838293795E0
4.915560680E-1,4.309562966E-2,8.379705995E-2,9.837775230E0,9.838226500E0
4.933769230E-1,4.070143029E-2,8.379705995E-2,9.837775230E0,9.838216304E0
4.955538060E-1,4.070143029E-2,8.858546615E-2,9.837775230E0,9.838258254E0
4.973645000E-1,2.873042040E-2,9.097966552E-2,9.835380554E0,9.835843298E0
4.995515440E-1,2.154781483E-2,9.097966552E-2,9.835380554E0,9.835824940E0
5.013489230E-1,1.915361360E-2,8.858546615E-2,9.828198433E0,9.828616316E0
5.035492810E-1,1.915361360E-2,1.125274822E-1,9.828198433E0,9.828861263E0
5.053458840E-1,2.154781483E-2,1.077390760E-1,9.842563629E0,9.843176866E0
